Filename,Tobj,Obj,HIP_name,Thorium1,Thorium2,Haolgen1,Halogen2,Date,RA,DEC,SNR,Filesize,Md5
rboy.448.fits,HIP46853,HIP46853,HIP46853,Off,Off,Off,Off,2019-09-22T11:11:49.40, 9:32:51.4, 51:40:38.3,153.6775,1477440,c08dabe7417aa99eb6898c5f76faa504
rboy.450.fits,HIP46853,HIP46853,HIP46853,Off,Off,Off,Off,2019-09-22T11:13:58.39, 9:32:51.4, 51:40:38.3,156.0308,1477440,a336942bbf3078d7a2c85ad40e9867db
rbpa.104.fits,HIP12777,HIP12777,HIP12777,Off,Off,Off,Off,2019-09-24T08:58:15.54, 2:44:12.0, 49:13:42.4,118.25503,1477440,9d53e997e281a30cfe45a770e55062a5
rbpa.114.fits,HIP10644,HIP10644,HIP10644,Off,Off,Off,Off,2019-09-24T10:53:30.47, 2:17:03.2, 34:13:27.2,156.31604,1477440,277d04d3b92437b59fbe2cf8a86cc7dc
rbpa.124.fits,HIP22449,HIP22449,HIP22449,Off,Off,Off,Off,2019-09-24T12:14:00.40, 4:49:50.4,  6:57:40.6,145.3804,1477440,922c06edeb3fec025ca84ed630d98aaa
rbpb.401.fits,HIP102422,HIP102422,HIP102422,Off,Off,Off,Off,2019-09-25T05:37:18.25,20:45:17.4, 61:50:19.6,154.72269,1477440,28873f92ba3d9a369000bdff9023ffec
rbpb.402.fits,HIP102422,HIP102422,HIP102422,Off,Off,Off,Off,2019-09-25T05:38:33.38,20:45:17.4, 61:50:19.6,172.14252,1477440,af852625d3adbbb80383a320b3a904e4
rbpb.404.fits,HIP102422,HIP102422,HIP102422,Off,Off,Off,Off,2019-09-25T05:41:09.19,20:45:17.4, 61:50:19.6,176.72266,1477440,72d46b510936695d8ed1e66d7fd6c875
rbpb.408.fits,HIP111170,HIP111170,HIP111170,Off,Off,Off,Off,2019-09-25T05:51:51.00,22:31:18.3, -6:33:19.1,98.11062,1477440,cd10c97036e17293f0298e8266aceaec
rbpb.438.fits,HIP15457,HIP15457,HIP15457,Off,Off,Off,Off,2019-09-25T10:43:40.29, 3:19:21.7,  3:22:12.7,125.179855,1477440,99247cbe5586678933aca33c0cb2cc3d
rbpc.783.fits,HIP92043,HIP92043,HIP92043,Off,Off,Off,Off,2019-09-26T02:53:04.97,18:45:39.7, 20:32:46.7,139.30681,1477440,48d257a156b978b7d45ad8161e11c3a7
rbpc.784.fits,HIP92043,HIP92043,HIP92043,Off,Off,Off,Off,2019-09-26T02:54:20.01,18:45:39.7, 20:32:46.7,137.65372,1477440,1dd4933f95599e80f8178ad8fd0fdccc
rbpc.785.fits,HIP92043,HIP92043,HIP92043,Off,Off,Off,Off,2019-09-26T02:55:33.73,18:45:39.7, 20:32:46.7,139.03607,1477440,ef649afae2e1b49751a53942133262d1
rbpc.789.fits,HIP95501,HIP95501,HIP95501,Off,Off,Off,Off,2019-09-26T03:03:12.21,19:25:29.9,  3:06:53.2,144.10188,1477440,13407aeddc836286e98d4ff7a82cd112
rbpc.790.fits,HIP95501,HIP95501,HIP95501,Off,Off,Off,Off,2019-09-26T03:04:22.93,19:25:29.9,  3:06:53.2,146.32683,1477440,51b1e4e926fbe0b0d275692f515a06a0
rbpc.792.fits,HIP95501,HIP95501,HIP95501,Off,Off,Off,Off,2019-09-26T03:06:41.13,19:25:29.9,  3:06:53.2,136.81305,1477440,fc9312ab9ff7d146c38654702c860515
