source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,radius_val,lum_val,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_distance
43335537119008896,55.9392323792583,0.040943794173222206,16.665933301572416,0.028062907473444344,58.007038584969095,0.04570914101283851,9.917213,2.1377754,34.218096171651474,1.0833929391218966,"NOT_AVAILABLE",3892.5,0.1713,,,"HIP17405",55.9385302909146,16.6672692766052,58.007,156.215,-310.291,34.67,2000.0,4.82416269485187E-8
43335880716390784,55.9697273173385,0.03955659112141971,16.670667262822363,0.02268961639646078,58.10973939968204,0.04016515670707249,9.214379,1.8807926,34.183439716885495,0.148887495531108,"NOT_AVAILABLE",4064.6667,0.0697,0.5443741,0.07287682,"HIP17414",55.9690174339539,16.6720292205108,58.1097,157.945,-316.326,34.82,2000.0,4.934296722498142E-8
70051608089857536,56.58577328078651,0.06822246705402935,26.214660370916178,0.03633937805559798,69.4494337105679,0.06268079136810921,8.870097,1.9218869,35.69843873344789,0.30166350814972986,"NOT_AVAILABLE",4055.55,0.186,0.53770465,0.07046628,"HIP17609",56.5839163110976,26.2155060816761,69.4494,386.933,-196.426,35.7,2000.0,7.624326352994335E-8
493650660400463488,57.005787160625296,0.01929310097903272,68.67397115150796,0.025826577557895653,55.83388802335839,0.03430703851300092,8.765735,1.6029558,2.6668849783478934,0.17978289928067095,"NOT_AVAILABLE",4221.8003,0.3347,0.61664885,0.10883319,"HIP17749",57.0043097208638,68.6728922013283,55.8339,124.8,250.593,2.475,2000.0,3.0236142404874555E-8
2423493369021649920,5.717522590240169,0.04202974939709976,-12.209173895551345,0.028817246496908505,46.92579925275667,0.05077232051552677,6.2252135,0.8283663,-2.3379380461138783,0.15678680358260152,"NOT_AVAILABLE",5760.9,0.1057,1.0504295,1.0949388,"HIP1803",5.7157847162196,-12.2094367708036,46.9258,394.506,61.056,-2.403,2000.0,1.127939138032193E-8
3244915072792668416,58.64775092706527,0.03994037579397524,-6.823744488061982,0.02883843109489172,63.70585396255738,0.04675030715551216,8.420417,1.715477,61.77072314652287,0.17657618924109159,"NOT_AVAILABLE",4217.357,0.737,0.6357073,0.11517827,"HIP18280",58.6477755897279,-6.8260147641867,63.7059,-5.687,527.29,62.648,2000.0,1.4340991166400245E-7
3256334497479041024,59.36877949125448,0.03660588682510846,-1.16007930445156,0.02871849768734407,65.35503977490676,0.04557085830627451,7.6642675,1.3643613,3.423512314851303,0.13775293107181008,"NOT_AVAILABLE",4640.51,,0.6611194,0.18260694,"HIP18512",59.3695788391016,-1.1594643180989,65.355,-185.616,-142.835,3.64,2000.0,8.480344064943506E-9
3297007356736453376,60.78910159287813,0.31486498485253916,5.989283719008918,0.25120436083311887,28.474883404336055,0.385441177558237,3.811152,0.10343742,,,"NOT_AVAILABLE",7836.0,,2.8738332,28.054047,"HIP18907",60.78908192916666,5.989299768333334,27.89,4.72,-3.78,-5.7,2000.0,7.984657039635369E-7
3298631404130765568,60.98655919824094,0.11577677034420786,8.197380832821766,0.06578536926607054,28.696396672345585,0.13573858771601416,5.3328457,0.51753664,,,"NOT_AVAILABLE",6758.5,,1.8624512,6.5202727,"HIP18975",60.9858421667324,8.1972660082313,28.6964,164.835,26.669,38.2,2000.0,1.17399199118831E-8
53112944270520832,61.33520829695847,0.06742392059674922,22.00834244995069,0.03075143135901909,59.18953877069614,0.07126846387594153,5.7423496,0.8034096,24.112112121842834,0.133468112644678,"NOT_AVAILABLE",5843.0,0.0743,1.0087265,1.068526,"HIP19076",61.33441015150551,22.0089044315514,59.1895,171.867,-130.525,23.97,2000.0,2.022276364685472E-8
